,word,meaning
1858,inimical,having the disposition of an enemy : hostile
1859,inimical,reflecting or indicating hostility : unfriendly
1860,innocuous,producing no injury : harmless
1861,innocuous,"not likely to give offense or to arouse strong feelings or hostility : inoffensive, insipid"
1862,inquisitive,given to examination or investigation
1863,inquisitive,inclined to ask questions
1864,inquisitive,inordinately or improperly curious about the affairs of others
1865,inscrutable,"not readily investigated, interpreted, or understood : mysterious"
1866,insipid,"lacking in qualities that interest, stimulate, or challenge : dull, flat"
1867,insipid,lacking taste or savor : tasteless
1868,insolent,insultingly contemptuous in speech or conduct : overbearing
1869,insolent,exhibiting boldness or effrontery : impudent
1870,insular,characteristic of an isolated people
1871,insular,"being, having, or reflecting a narrow provincial viewpoint"
1872,insular,"of, relating to, or constituting an island"
1873,insular,dwelling or situated on an island
1874,insular,of or relating to an island of cells or tissue
1875,interchangeable,capable of being interchanged
1876,interchangeable,permitting mutual substitution 
1877,intermittent,coming and going at intervals : not continuous
1878,intermittent,occasional 
1879,intermittent,appearing and disappearing seasonally : sometimes dry
1880,intertwined,to unite by twining one with another
1881,intertwined,to twine about one another
1882,intertwined,to become mutually involved
1883,intimate,marked by a warm friendship developing through long association
1884,intimate,suggesting informal warmth or privacy
1885,intimate,"engaged in, involving, or marked by sex or sexual relations"
1886,intimate,of a very personal or private nature
1887,intimate,"marked by very close association, contact, or familiarity"
1888,intimate,"intrinsic, essential"
1889,intimate,belonging to or characterizing one's deepest nature
1890,intimate,a very close friend or confidant : an intimate friend
1891,intimate,to communicate delicately and indirectly : hint
1892,intimate,to make known especially publicly or formally : announce
1893,intransigent,characterized by refusal to compromise or to abandon an often extreme position or attitude : uncompromising
1894,intrepid,"characterized by resolute fearlessness, fortitude, and endurance"
1895,intrigue,the practice of engaging in secret schemes
1896,intrigue,a secret scheme : machination
1897,intrigue,a clandestine love affair
1898,intrigue,"to arouse the interest, desire, or curiosity of"
1899,intrigue,"cheat, trick"
1900,intrigue,"to get, make, or accomplish by secret scheming"
1901,intrigue,entangle
1902,intrigue,to carry on an intrigue (see intrigue entry 1)
1903,intrigue,"plot, scheme"
1904,intrinsic,belonging to the essential nature or constitution of a thing
1905,intrinsic,being or relating to a semiconductor in which the concentration of charge carriers is characteristic of the material itself instead of the content of any impurities it contains
1906,intrinsic,"originating or due to causes within a body, organ, or part"
1907,intrinsic,originating and included wholly within an organ or part
1908,intrinsic,  — compare extrinsic sense 1b
1909,inundate,overwhelm
1910,inundate,to cover with a flood : overflow
1911,invasive,tending to spread especially in a quick or aggressive manner: such as
1912,invasive,growing and dispersing easily usually to the detriment of native species and ecosystems
1913,invasive,tending to infiltrate surrounding healthy tissue
1914,invasive,disseminating from a localized area throughout the body
1915,invasive,involving entry into the living body (as by incision or by insertion of an instrument)
1916,invasive,"of, relating to, or characterized by military aggression"
1917,invasive,tending to infringe
1918,invasive,an organism that is not native to the place where found and tends to grow and spread easily usually to the detriment of native species and ecosystems
1919,inveigle,to win over by wiles : entice
1920,inveigle,to acquire by ingenuity or flattery : wangle
1921,inveterate,confirmed in a habit : habitual
1922,inveterate,firmly established by long persistence
1923,invidious,of an unpleasant or objectionable nature : obnoxious
1924,invidious,of a kind to cause harm or resentment
1925,invidious,"tending to cause discontent, animosity, or envy"
1926,invidious,envious
1927,invigorate,to give life and energy to : animate
1928,invigorate,stimulate sense 1
1929,inviolate,not violated or profaned
1930,inviolate,pure
1931,irascible,marked by hot temper and easily provoked anger
1932,ire,intense and usually openly displayed anger
1933,ire,Ireland
1934,irksome,tending to irk : tedious
1935,ironclad,sheathed in iron armor
1936,ironclad,so firm or secure as to be unbreakable: such as
1937,ironclad,binding
1938,ironclad,having no obvious weakness
1939,ironclad,an armored naval vessel especially of the mid to late 19th century
1940,irresolute,uncertain how to act or proceed : vacillating
1941,irreverent,lacking proper respect or seriousness
1942,irreverent,satiric
1943,itinerant,traveling from place to place
1944,itinerant,covering a circuit 
1945,jeopardize,to expose to danger or risk : imperil
1946,jettison,to get rid of as superfluous or encumbering : omit or forgo as part of a plan or as the result of some other decision
1947,jettison,to drop (cargo) to lighten a ship's load in time of distress
1948,jettison,to drop from an aircraft or spacecraft in flight
1949,jettison,a voluntary sacrifice of cargo to lighten a ship's load in time of distress
1950,jocund,marked by or suggestive of high spirits and lively mirthfulness
1951,judicious,"having, exercising, or characterized by sound judgment"
1952,laconic,using or involving the use of a minimum of words : concise to the point of seeming rude or mysterious
1953,lambaste,"to assault violently : beat, whip"
1954,lambaste,to attack verbally : censure
1955,lament,to mourn aloud : wail
1956,lament,"to express sorrow, mourning, or regret for often demonstratively : mourn"
1957,lament,to regret strongly
1958,lament,a crying out in grief : wailing
1959,lament,"dirge, elegy"
1960,lament,complaint
1961,lampoon,satire sense 1
1962,lampoon,a harsh satire usually directed against an individual 
1963,lampoon,to make the subject of a lampoon : ridicule
1964,languid,drooping or flagging from or as if from exhaustion : weak
1965,languid,sluggish in character or disposition : listless
1966,languid,lacking force or quickness of movement : slow
1967,languish,"to be or become feeble, weak, or enervated"
1968,languish,to be or live in a state of depression or decreasing vitality
1969,languish,to become dispirited
1970,languish,to suffer neglect
1971,languish,to assume an expression of grief or emotion appealing for sympathy
1972,largesse,liberal giving (as of money) to or as if to an inferior
1973,largesse,something so given 
1974,largesse,generosity
1975,latitude,angular distance from some specified circle or plane of reference: such as
1976,latitude,angular distance north or south from the earth's equator measured through 90 degrees
1977,latitude,a region or locality as marked by its latitude
1978,latitude,angular distance of a celestial body from the ecliptic
1979,latitude,freedom of action or choice
1980,latitude,"scope, range"
1981,latitude,the range of exposures within which a film or plate will produce a negative or positive of satisfactory quality
1982,latitude,extent or distance from side to side : width
1983,laudable,worthy of praise : commendable
1984,lavish,expending or bestowing profusely : prodigal
1985,lavish,expended or produced in abundance
1986,lavish,marked by profusion or excess
1987,lavish,to expend or bestow with profusion : squander
1988,lax,"loose, open"
1989,lax,having loose bowels
1990,lax,deficient in firmness : not stringent
1991,lax,"not tense, firm, or rigid : slack"
1992,lax,having an open or loose texture
1993,lax,having the constituents spread apart
1994,lax,articulated with the muscles involved in a relatively relaxed state (such as the vowel \i\ in contrast with the vowel \ē\)
1995,lax,lacrosse
1996,lethargic,"of, relating to, or characterized by laziness or lack of energy : feeling or affected by lethargy : sluggish"
1997,lethargic,"indifferent, apathetic"
1998,levity,excessive or unseemly frivolity
1999,levity,lack of steadiness : changeableness
2000,liability,the quality or state of being liable
2001,liability,probability
2002,liability,something for which one is liable
2003,liability,pecuniary obligation : debt 
2004,liability,one that acts as a disadvantage : drawback
2005,libertine,a freethinker especially in religious matters
2006,libertine,a person who is unrestrained by convention or morality
2007,libertine,one leading a dissolute life 
2008,limpid,marked by transparency (see transparent sense 1) : pellucid
2009,limpid,clear and simple in style
2010,limpid,absolutely serene and untroubled
2011,lionize,to treat as an object of great interest or importance
2012,loathe,to dislike greatly and often with disgust or intolerance : detest
2013,loquacious,full of excessive talk : wordy
2014,loquacious,given to fluent or excessive talk : garrulous
2015,lucid,suffused with light : luminous
2016,lucid,translucent
2017,lucid,having full use of one's faculties : sane
2018,lucid,clear to the understanding : intelligible
2019,lucrative,producing wealth : profitable
2020,lugubrious,mournful
2021,lugubrious,exaggeratedly or affectedly (see affected entry 2 sense 1a) mournful 
2022,lugubrious,dismal
2023,lull,to cause to sleep or rest : soothe
2024,lull,to cause to relax vigilance
2025,lull,a temporary pause or decline in activity
2026,lull,such as
2027,lull,a temporary drop in business activity
2028,lull,a temporary calm before or during a storm
2029,lull,something that lulls
2030,lull,lullaby
2031,macabre,having death as a subject : comprising or including a personalized representation of death
2032,macabre,dwelling on the gruesome
2033,macabre,tending to produce horror in a beholder
2034,magisterial,"of, relating to, or having the characteristics of a master or teacher : authoritative"
2035,magisterial,marked by an overbearingly dignified or assured manner or aspect
2036,magisterial,"of, relating to, or required for a master's degree"
2037,magisterial,of or relating to a magistrate or a magistrate's office or duties
2038,magnanimous,showing or suggesting a lofty and courageous spirit
2039,magnanimous,showing or suggesting nobility of feeling and generosity of mind
2040,malevolent,"having, showing, or arising from intense often vicious ill will, spite, or hatred"
2041,malevolent,productive of harm or evil
2042,malfeasance,wrongdoing or misconduct especially by a public official
2043,malign,"evil in nature, influence, or effect : injurious"
2044,malign,"malignant, virulent"
2045,malign,having or showing intense often vicious ill will : malevolent
2046,malign,to utter injuriously misleading or false reports about : speak evil of
2047,malleable,capable of being extended or shaped by beating with a hammer or by the pressure of rollers
2048,malleable,capable of being altered or controlled by outside forces or influences
2049,malleable,having a capacity for adaptive change
2050,manacle,a shackle for the hand or wrist : handcuff
2051,manacle,something used as a restraint
2052,manacle,to confine (the hands) with manacles
2053,manacle,to make fast or secure : bind
2054,manacle,"to restrain from movement, progress, or action"
2055,manifest,readily perceived by the senses and especially by the sense of sight
2056,manifest,easily understood or recognized by the mind : obvious
2057,manifest,to make evident or certain by showing or displaying
2058,manifest,"manifestation, indication"
2059,manifest,manifesto
2060,manifest,a list of passengers or an invoice of cargo for a vehicle (such as a ship or plane)
2061,marginalize,to relegate (see relegate sense 2) to an unimportant or powerless position within a society or group
2062,mawkish,lacking flavor or having an unpleasant taste
2063,mawkish,exaggeratedly or childishly emotional
2064,mediate,occupying a middle position
2065,mediate,acting through an intervening agency
2066,mediate,"exhibiting indirect causation, connection, or relation"
2067,mediate,to bring accord out of by action as an intermediary (see intermediary entry 1 sense 1a)
2068,mediate,to effect by action as an intermediary (see intermediary entry 1 sense 1a)
2069,mediate,"to act as intermediary (see intermediary entry 2 sense 2) agent in bringing, effecting, or communicating : convey"
2070,mediate,to transmit as intermediate mechanism or agency
2071,mediate,to interpose between parties in order to reconcile (see reconcile sense 1a) them
2072,mediate,to reconcile (see reconcile sense 1b) differences
2073,mendacity,the quality or state of being mendacious
2074,mendacity,lie
2075,mercenary,one that serves merely for wages
2076,mercenary,a soldier hired into foreign service 
2077,mercenary,serving merely for pay or sordid advantage : venal
2078,mercenary,greedy
2079,mercenary,hired for service in the army of a foreign country
2080,mercurial,"of, relating to, or born under the planet Mercury"
2081,mercurial,"having qualities of eloquence, ingenuity, or thievishness attributed to the god Mercury or to the influence of the planet Mercury"
2082,mercurial,characterized by rapid and unpredictable changeableness of mood
2083,mercurial,"of, relating to, containing, or caused by mercury"
2084,mercurial,a pharmaceutical or chemical containing mercury
2085,meritorious,deserving of honor or esteem
2086,metaphorical,a figure of speech in which a word or phrase literally denoting one kind of object or idea is used in place of another to suggest a likeness or analogy between them (as in drowning in money)
2087,metaphorical,figurative language   compare simile
2088,metaphorical,"an object, activity, or idea treated as a metaphor : symbol sense 2"
2089,meticulous,marked by extreme or excessive care in the consideration or treatment of details
2090,mettlesome,full of mettle : spirited
2091,mimic,mime sense 2
2092,mimic,one that mimics
2093,mimic,imitative
2094,mimic,"imitation, mock"
2095,mimic,of or relating to mime or mimicry
2096,mimic,to imitate closely : ape
2097,mimic,to ridicule by imitation
2098,mimic,simulate
2099,mimic,to resemble by biological mimicry
2100,minute,the 60th part of an hour of time : 60 seconds
2101,minute,the 60th part of a degree of angular measure
2102,minute,the distance one can traverse in a minute
2103,minute,a short space of time : moment
2104,minute,a brief note (as of summary or recommendation)
2105,minute,"memorandum, draft"
2106,minute,the official record of the proceedings of a meeting
2107,minute,very small : infinitesimal
2108,minute,of small importance : trifling
2109,minute,marked by close attention to details
2110,minute,to make notes or a brief summary of
2111,misanthropic,"of, relating to, or characteristic of a misanthrope"
2112,misanthropic,marked by a hatred or contempt for humankind
2113,miscreant,"unbelieving, heretical"
2114,miscreant,"depraved, villainous"
2115,miscreant,"infidel, heretic"
2116,miscreant,one who behaves criminally or viciously
2117,miserly,"of, relating to, or characteristic of a miser"
2118,miserly,marked by grasping meanness and penuriousness 
2119,misnomer,the misnaming of a person in a legal instrument
2120,misnomer,a use of a wrong or inappropriate name
2121,misnomer,a wrong name or inappropriate designation
2122,mitigate,to cause to become less harsh or hostile : mollify
2123,mitigate,to make less severe or painful : alleviate
2124,mitigate,extenuate
2125,modest,placing a moderate estimate on one's abilities or worth
2126,modest,neither bold nor self-assertive : tending toward diffidence
2127,modest,arising from or characteristic of a modest nature
2128,modest,observing the proprieties of dress and behavior : decent
2129,modest,"limited in size, amount, or scope"
2130,modest,unpretentious
2131,modish,"fashionable, stylish"
2132,mollify,to soothe in temper or disposition : appease
2133,mollify,to reduce the rigidity of : soften
2134,mollify,"to reduce in intensity : assuage, temper"
2135,mollify,"soften, relent"
2136,momentary,continuing only a moment : fleeting
2137,momentary,having a very brief life
2138,momentary,operative or recurring at every moment
2139,monotonous,uttered or sounded in one unvarying tone : marked by a sameness of pitch and intensity
2140,monotonous,tediously uniform or unvarying
2141,mordant,"biting and caustic in thought, manner, or style : incisive"
2142,mordant,acting as a mordant (as in dyeing)
2143,mordant,"burning, pungent"
2144,mordant,a chemical that fixes a dye in or on a substance by combining with the dye to form an insoluble compound
2145,mordant,a corroding substance used in etching
2146,mordant,to treat with a mordant
2147,morose,having a sullen and gloomy disposition
2148,morose,marked by or expressive of gloom
2149,mundane,"of, relating to, or characteristic of the world"
2150,mundane,"characterized by the practical, transitory, and ordinary : commonplace"
2151,munificent,very liberal in giving or bestowing (see bestow sense 4) : lavish
2152,munificent,characterized by great liberality or generosity
2153,mutiny,forcible or passive resistance to lawful authority
2154,mutiny,concerted (see concerted sense 1) revolt (as of a naval crew) against discipline or a superior officer 
2155,mutiny,"tumult, strife"
2156,mutiny,to rise against or refuse to obey or observe authority
2157,mutiny,to rebel against military authority : to stage a mutiny 
2158,myopic,"affected by myopia : of, relating to, or exhibiting myopia : nearsighted"
2159,myopic,lacking in foresight or discernment : narrow in perspective and without concern for broader implications
2160,nadir,the point of the celestial sphere that is directly opposite the zenith and vertically downward from the observer
2161,nadir,the lowest point
2162,naive,"marked by unaffected simplicity : artless, ingenuous"
2163,naive,deficient in worldly wisdom or informed judgment
2164,naive,credulous 
2165,naive,not previously subjected to experimentation or a particular experimental situation
2166,naive,not having previously used a particular drug (such as marijuana)
2167,naive,not having been exposed previously to an antigen
2168,naive,"self-taught, primitive"
2169,naive,produced by or as if by a self-taught artist
2170,nascent,coming or having recently come into existence
2171,negligent,marked by or given to neglect especially habitually or culpably
2172,negligent,failing to exercise the care expected of a reasonably prudent person in like circumstances
2173,negligent,marked by a carelessly easy manner
2174,neophyte,a new convert : proselyte
2175,neophyte,novice sense 1
2176,neophyte,"tyro, beginner"
2177,nettlesome,causing vexation : irritating
2178,neutralize,to make chemically neutral
2179,neutralize,to counteract the activity or effect of : make ineffective
2180,neutralize,"kill, destroy"
2181,neutralize,to make electrically inert by combining equal positive and negative quantities
2182,neutralize,"to invest (a territory, a nation, etc.) with conventional or obligatory neutrality conferring inviolability during a war"
2183,neutralize,to make neutral by blending with the complementary color
2184,neutralize,to give (a pair of phonemes) a nondistinctive form or pronunciation
2185,neutralize,to undergo neutralization
2186,nimble,quick and light in motion : agile
2187,nimble,"marked by quick, alert, clever conception (see conception sense 3), comprehension (see comprehension sense 1a), or resourcefulness"
2188,nimble,"responsive, sensitive"
2189,noble,possessing outstanding qualities : illustrious
2190,noble,"famous, notable"
2191,noble,of high birth or exalted rank : aristocratic
2192,noble,possessing very high or excellent qualities or properties
2193,noble,very good or excellent
2194,noble,grand or impressive especially in appearance
2195,noble,"possessing, characterized by, or arising from superiority of mind or character or of ideals or morals : lofty"
2196,noble,chemically inert or inactive especially toward oxygen
2197,noble,   compare base entry 3 sense 2a
2198,noble,a person of noble rank or birth
2199,noble,an old English gold coin equivalent to 6 shillings and 8 pence
2200,nominal,"of, relating to, or being a noun or a word or expression taking a noun construction"
2201,nominal,"of, relating to, or constituting a name"
2202,nominal,bearing the name of a person
2203,nominal,existing or being something in name or form only
2204,nominal,"of, being, or relating to a designated or theoretical size that may vary from the actual : approximate"
2205,nominal,"trifling, insignificant"
2206,nominal,equal to the annual rate of simple interest that would obtain if interest were not compounded when in fact it is compounded and paid for periods of less than a year
2207,nominal,equal to the percentage by which a repaid loan exceeds the principal borrowed with no adjustment made for inflation
2208,nominal,being according to plan : satisfactory
2209,nominal,a word or word group functioning as a noun
2210,nonchalant,having an air of easy unconcern or indifference
2211,nonplussed,"unsure about what to say, think, or do : perplexed"
2212,nonplussed,"not bothered, surprised, or impressed by something"
2213,noxious,physically harmful or destructive to living beings
2214,noxious,constituting a harmful influence on mind or behavior
2215,noxious,morally corrupting 
2216,noxious,"disagreeable, obnoxious"
2217,nullify,to make null (see null entry 1 sense 1)
2218,nullify,to make legally null and void 
2219,nullify,to make of no value or consequence (see consequence sense 3)
2220,numinous,"supernatural, mysterious"
2221,numinous,filled with a sense of the presence of divinity : holy
2222,numinous,appealing to the higher emotions or to the aesthetic sense : spiritual
2223,obdurate,stubbornly persistent in wrongdoing
2224,obdurate,hardened in feelings
2225,obdurate,resistant to persuasion or softening influences
2226,obeisance,a movement of the body made in token of respect or submission : bow
2227,obeisance,acknowledgment of another's superiority or importance : homage
2228,obfuscate,to throw into shadow : darken
2229,obfuscate,to make obscure
2230,obfuscate,confuse
2231,obfuscate,"to be evasive, unclear, or confusing"
2232,oblivious,"lacking remembrance, memory, or mindful attention"
2233,oblivious,lacking active conscious knowledge or awareness
2234,obscure,"dark, dim"
2235,obscure,shrouded in or hidden by darkness
2236,obscure,not clearly seen or easily distinguished : faint
2237,obscure,not readily understood or clearly expressed
2238,obscure,mysterious 
2239,obscure,relatively unknown: such as
2240,obscure,"remote, secluded"
2241,obscure,not prominent or famous
2242,obscure,constituting the unstressed vowel \ə\ or having unstressed \ə\ as its value
2243,obscure,"to make dark, dim, or indistinct"
2244,obscure,to conceal or hide by or as if by covering
2245,obscure,to reduce (a vowel) to the value \ə\
2246,obscure,obscurity
2247,obsequious,marked by or exhibiting a fawning attentiveness
2248,obsolete,no longer in use or no longer useful
2249,obsolete,of a kind or style no longer current : old-fashioned
2250,obsolete,indistinct or imperfect as compared with a corresponding part in related organisms : vestigial
2251,obsolete,to make (something) old-fashioned or no longer useful : make obsolete
2252,obstinate,"stubbornly adhering to an opinion, purpose, or course in spite of reason, arguments, or persuasion"
2253,obstinate,"not easily subdued, remedied, or removed"
2254,obstreperous,marked by unruly or aggressive noisiness : clamorous
2255,obstreperous,stubbornly resistant to control : unruly
2256,obviate,"to anticipate and prevent (something, such as a situation) or make (an action) unnecessary"
2257,occlude,to close up or block off : obstruct
2258,occlude,conceal 
2259,occlude,sorb
2260,occlude,to come into contact with cusps of the opposing teeth fitting together
2261,occlude,to become occluded
2262,odious,arousing or deserving hatred or repugnance : hateful
2263,officious,volunteering one's services where they are neither asked nor needed : meddlesome
2264,officious,"informal, unofficial"
2265,officious,"kind, obliging"
2266,officious,dutiful
2267,ominous,being or exhibiting an omen : portentous
2268,ominous,foreboding or foreshadowing evil : inauspicious
2269,omnipresent,present in all places at all times
2270,onerous,"involving, imposing, or constituting a burden : troublesome"
2271,onerous,having legal obligations that outweigh the advantages
2272,opaque,blocking the passage of radiant energy and especially light : exhibiting opacity (see opacity sense 1)
2273,opaque,hard to understand or explain
2274,opaque,"obtuse, thickheaded"
2275,opprobrium,something that brings disgrace
2276,opprobrium,public disgrace or ill fame that follows from conduct considered grossly wrong or vicious
2277,opprobrium,"contempt, reproach"
2278,ossify,to change into bone
2279,ossify,to become hardened or conventional and opposed to change
2280,ossify,"to change (a material, such as cartilage) into bone"
2281,ossify,to make rigidly conventional and opposed to change
2282,ostentatious,"attracting or seeking to attract attention, admiration, or envy often by gaudiness or obviousness : overly elaborate or conspicuous : characterized by, fond of, or evincing ostentation"
2283,oust,"to remove from or dispossess of property or position by legal action, by force, or by the compulsion of necessity"
2284,oust,"to take away (something, such as a right or authority) : bar, remove"
2285,oust,to take the place of : supplant
2286,outlandish,of or relating to another country : foreign
2287,outlandish,strikingly out of the ordinary : bizarre
2288,outlandish,exceeding proper or reasonable limits or standards
2289,outlandish,remote from civilization
2290,outstrip,to go faster or farther than
2291,outstrip,to get ahead of
2292,overt,open to view : manifest
2293,pacify,to allay the anger or agitation of : soothe
2294,pacify,"appease, propitiate"
2295,pacify,to restore to a tranquil state : settle
2296,pacify,to reduce to a submissive state : subdue
2297,painstaking,"taking pains : expending, showing, or involving diligent care and effort"
2298,painstaking,the action of taking pains : diligent care and effort
2299,palpable,capable of being touched or felt : tangible
2300,palpable,easily perceptible : noticeable
2301,palpable,easily perceptible by the mind : manifest
2302,panacea,a remedy for all ills or difficulties : cure-all
2303,panache,an ornamental tuft (as of feathers) especially on a helmet
2304,panache,dash or flamboyance in style and action : verve
2305,paradigmatic,"example, pattern"
2306,paradigmatic,an outstandingly clear or typical example or archetype 
2307,paradigmatic,an example of a conjugation or declension showing a word in all its inflectional forms
2308,paradigmatic,"a philosophical and theoretical framework of a scientific school or discipline within which theories, laws, and generalizations and the experiments performed in support of them are formulated"
2309,paradigmatic,a philosophical or theoretical framework of any kind
2310,paradoxical,of the nature of a paradox
2311,paradoxical,inclined to paradoxes
2312,paradoxical,not being the normal or usual kind
2313,paragon,a model of excellence or perfection
2314,paragon,to compare with : parallel
2315,paragon,to put in rivalry : match
2316,paragon,surpass
2317,parochial,of or relating to a church parish
2318,parochial,of or relating to a parish as a unit of local government
2319,parochial,"confined or restricted as if within the borders of a parish : limited in range or scope (as to a narrow area or region) : provincial, narrow"
2320,parsimonious,exhibiting or marked by parsimony
2321,parsimonious,frugal to the point of stinginess
2322,parsimonious,"sparing, restrained"
2323,partial,of or relating to a part rather than the whole : not general or total
2324,partial,inclined to favor one party more than the other : biased
2325,partial,markedly fond of someone or something
2326,partial,overtone sense 1a
2327,pastiche,"a literary, artistic, musical, or architectural work that imitates the style of previous work"
2328,pastiche,such stylistic imitation
2329,pastiche,"a musical, literary, or artistic composition made up of selections from different works : potpourri"
2330,pastiche,hodgepodge
2331,patent,open to public inspection
2332,patent,secured by letters patent or by a patent to the exclusive control and possession of a particular individual or party
2333,patent,protected by a patent : made under a patent
2334,patent,protected by a trademark or a brand name so as to establish proprietary rights analogous to those conveyed by letters patent or a patent : proprietary
2335,patent,"of, relating to, or concerned with the granting of patents especially for inventions"
2336,patent,making exclusive or proprietary claims or pretensions
2337,patent,affording free passage : unobstructed
2338,patent,"patulous, spreading"
2339,patent,"accessible, exposed"
2340,patent,readily visible or intelligible : obvious
2341,patent,an official document conferring a right or privilege : letters patent
2342,patent,"a writing securing for a term of years the right to exclude others from making, using, or selling an invention"
2343,patent,the monopoly or right so granted
2344,patent,a patented invention
2345,patent,"privilege, license"
2346,patent,an instrument making a conveyance of public lands
2347,patent,the land so conveyed
2348,patent,patent leather
2349,patent,to obtain or grant a patent right to
2350,patent,"to grant a privilege, right, or license to by patent"
2351,patent,to obtain or secure by patent
2352,patent,"to secure by letters patent exclusive right to make, use, or sell"
2353,patronize,to act as patron of : provide aid or support for
2354,patronize,to adopt an air of condescension toward : treat haughtily or coolly
2355,patronize,to be a frequent or regular customer or client of
2356,peccadillo,a slight offense
2357,peculiar,"characteristic of only one person, group, or thing : distinctive"
2358,peculiar,different from the usual or normal:
2359,peculiar,"special, particular"
2360,peculiar,"odd, curious"
2361,peculiar,"eccentric, unusual"
2362,peculiar,something exempt from ordinary jurisdiction
2363,peculiar,a church or parish exempt from the jurisdiction of the ordinary in whose territory it lies
2364,pedantic,"of, relating to, or being a pedant"
2365,pedantic,"narrowly, stodgily, and often ostentatiously learned"
2366,pedantic,"unimaginative, dull"
2367,pedestrian,"commonplace, unimaginative"
2368,pedestrian,going or performed on foot
2369,pedestrian,"of, relating to, or designed for walking"
2370,pedestrian,a person going on foot : walker
2371,pellucid,admitting maximum passage of light without diffusion or distortion
2372,pellucid,reflecting light evenly from all surfaces
2373,pellucid,easy to understand
2374,penchant,a strong and continued inclination
2375,penchant,liking
2376,pensive,musingly or dreamily thoughtful
2377,pensive,suggestive of sad thoughtfulness
2378,penurious,marked by or suffering from penury
2379,penurious,given to or marked by extreme stinting frugality
2380,perennial,present at all seasons of the year
2381,perennial,persisting for several years usually with new herbaceous growth from a perennating part
2382,perennial,"persistent, enduring"
2383,perennial,"continuing without interruption : constant, perpetual"
2384,perennial,regularly repeated or renewed : recurrent
2385,perfidy,the quality or state of being faithless or disloyal : treachery
2386,perfidy,an act or an instance of disloyalty
2387,perfunctory,characterized by routine or superficiality : mechanical
2388,perfunctory,lacking in interest or enthusiasm
2389,perilous,full of or involving peril
2390,peripheral,"of, relating to, involving, or forming a periphery or surface part"
2391,peripheral,"of, relating to, affecting, or being part of the peripheral nervous system"
2392,peripheral,"of, relating to, or being blood in the systemic circulation"
2393,peripheral,"of, relating to, or being the outer part of the field of vision"
2394,peripheral,"auxiliary, supplementary"
2395,peripheral,of or relating to computer peripherals
2396,peripheral,a device connected to a computer to provide communication (such as input and output) or auxiliary functions (such as additional storage)
2397,pernicious,highly injurious or destructive : deadly
2398,pernicious,wicked
2399,perpetrate,"to bring about or carry out (something, such as a crime or deception) : commit"
2400,perpetrate,"to produce, perform, or execute (something likened to a crime)"
2401,perpetuate,to make perpetual or cause to last indefinitely
2402,perseverance,"continued effort to do or achieve something despite difficulties, failure, or opposition : the action or condition or an instance of persevering : steadfastness"
2403,perspicacious,of acute mental vision or discernment : keen
2404,pertinacious,"adhering resolutely to an opinion, purpose, or design"
2405,pertinacious,perversely persistent
2406,pertinacious,stubbornly tenacious
2407,pertinent,having a clear decisive relevance to the matter in hand
2408,pervasive,existing in or spreading through every part of something
2409,petulant,insolent or rude in speech or behavior
2410,petulant,characterized by temporary or capricious ill humor : peevish
2411,philistine,a native or inhabitant of ancient Philistia
2412,philistine,a person who is guided by materialism and is usually disdainful of intellectual or artistic values
2413,philistine,one uninformed in a special area of knowledge
2414,philistine,guided by materialism and disdainful of intellectual or artistic values
2415,philistine,of or relating to the people of ancient Philistia
2416,phlegmatic,"resembling, consisting of, or producing the humor phlegm"
2417,phlegmatic,having or showing a slow and stolid temperament
2418,pious,marked by or showing reverence for deity and devotion to divine worship
2419,pious,marked by conspicuous religiosity
2420,pious,sacred or devotional as distinct from the profane or secular : religious
2421,pious,showing loyal reverence for a person or thing : dutiful
2422,pious,marked by sham or hypocrisy
2423,pious,marked by self-conscious virtue : virtuous
2424,pious,deserving commendation : worthy
2425,piquant,engagingly provocative
2426,piquant,having a lively arch charm
2427,piquant,agreeably stimulating to the taste
2428,piquant,spicy
2429,pithy,consisting of or abounding in pith
2430,pithy,having substance and point : tersely cogent
2431,placate,to soothe or mollify especially by concessions : appease
2432,placid,serenely free of interruption or disturbance
2433,placid,complacent sense 1
2434,plaintive,expressive of suffering or woe : melancholy
2435,plastic,a plastic substance
2436,plastic,"any of numerous organic synthetic or processed materials that are mostly thermoplastic or thermosetting polymers of high molecular weight and that can be made into objects, films, or filaments"
2437,plastic,credit cards used for payment
2438,plastic,made or consisting of a plastic
2439,plastic,having a quality suggestive of mass-produced plastic goods
2440,plastic,artificial sense 3 
2441,plastic,capable of being molded or modeled
2442,plastic,capable of adapting to varying conditions : pliable
2443,plastic,capable of being deformed continuously and permanently in any direction without rupture
2444,plastic,"relating to, characterized by, or exhibiting neural plasticity"
2445,plastic,"of, relating to, or involving plastic surgery"
2446,plastic,"formative, creative"
2447,plastic,sculptural
2448,plastic,developing : forming
2449,plastic,"of or relating to (something designated by a term ending in -plasm, -plast, -plasty, or -plasy)"
2450,platitude,the quality or state of being dull or insipid
2451,platitude,"a banal, trite, or stale remark"
2452,pliant,pliable sense 1a
2453,pliant,easily influenced : yielding
2454,pliant,suitable for varied uses
2455,plodding,to work laboriously and monotonously : drudge
2456,plodding,to walk heavily or slowly : trudge
2457,plodding,to proceed slowly or tediously
2458,plodding,to tread slowly or heavily along or over
2459,ploy,"escapade, frolic"
2460,ploy,a tactic intended to embarrass or frustrate an opponent
2461,ploy,a devised or contrived move : stratagem
